Region,Seed,Team
South,1,Auburn
South,16,Alabama St
South,8,Louisville
South,9,Creighton
South,5,Michigan
South,12,UCSD
South,4,Texas A&M
South,13,Yale
South,6,Mississippi
South,11,North Carolina
South,3,Iowa St
South,14,Lipscomb
South,7,Marquette
South,10,New Mexico
South,2,Michigan St
South,15,Bryant
East,1,Florida
East,16,Norfolk St
East,8,UConn
East,9,Oklahoma
East,5,Memphis
East,12,Colorado St
East,4,Maryland
East,13,Grand Canyon
East,6,Missouri
East,11,Drake
East,3,Texas Tech
East,14,NC Wilmington
East,7,Kansas
East,10,Arkansas
East,2,St John's
East,15,Omaha
Midwest,1,Duke
Midwest,16,American
Midwest,8,Mississippi St
Midwest,9,Baylor
Midwest,5,Oregon
Midwest,12,Liberty
Midwest,4,Arizona
Midwest,13,Akron
Midwest,6,BYU
Midwest,11,VCU
Midwest,3,Wisconsin
Midwest,14,Montana
Midwest,7,Saint Mary's
Midwest,10,Vanderbilt
Midwest,2,Alabama
Midwest,15,Robert Morris
West,1,Houston
West,16,SIU Edward
West,8,Gonzaga
West,9,Georgia
West,5,Clemson
West,12,McNeese
West,4,Purdue
West,13,High Point
West,6,Illinois
West,11,Texas
West,3,Kentucky
West,14,Troy
West,7,UCLA
West,10,Utah St
West,2,Tennessee
West,15,Wofford