Team,PPG,PPGA,ScoringMargin,OffensiveEff,DefensiveEff,FloorP,FloorPA,PTWO,PTWOA,PTHREE,PTHREEA,PFT,PFTA,TWOPP,TWOPPA,THREEPP,THREEPPA,FTR,FTRA,ORB,ORBA,DRB,DRBA,BlockP,BlockPA,StealP,StealPA,AssistR,AssistRA,FoulR,FoulRA,ESCPG,EPR,EPRA,TOVR,TOVRA,WinP
UTEP,71.1,72.1,-1.0,1.006,1.02,47.6,48.2,48.7,47.6,30.1,30.9,21.2,21.4,47.7,54.0,34.6,33.4,0.37,0.4,23.3,30.4,69.6,76.7,5.2,6.2,13.5,8.8,0.176,0.201,25.7,23.7,1.6,0.939,0.917,15.1,18.7,0.5
Oral Roberts,71.1,82.0,-10.9,1.013,1.169,46.2,54.6,41.7,48.6,37.3,30.3,21.0,21.2,48.5,56.6,34.4,35.0,0.35,0.382,19.1,31.8,68.2,80.9,4.3,5.5,6.6,8.2,0.134,0.218,26.5,24.5,-5.0,0.927,0.997,14.6,12.0,0.154
Bellarmine,70.9,81.3,-10.4,1.029,1.18,46.7,53.3,47.9,42.6,36.2,38.8,15.9,18.6,53.9,57.8,35.6,39.0,0.265,0.349,17.8,28.9,71.1,82.2,3.0,4.2,9.1,9.7,0.194,0.225,25.4,22.0,-4.4,0.904,0.968,16.0,13.5,0.103
La Salle,70.9,75.5,-4.7,0.989,1.053,46.8,49.0,51.8,50.6,28.4,32.9,19.8,16.5,44.5,54.5,32.8,33.2,0.314,0.3,27.5,27.9,72.1,72.5,6.0,6.0,9.9,8.6,0.158,0.21,22.4,23.0,1.3,0.981,0.963,13.4,14.4,0.406
Kansas St,70.8,69.6,1.2,1.019,1.001,47.4,47.1,51.5,54.0,32.6,28.3,15.9,17.7,51.8,49.9,32.5,31.5,0.276,0.286,27.6,31.0,69.0,72.4,5.9,6.0,10.6,9.6,0.22,0.202,22.4,23.1,-0.6,0.952,0.962,15.4,15.6,0.485
Tenn Tech,70.8,74.1,-3.3,0.999,1.045,45.2,48.8,43.1,57.5,40.1,28.2,16.8,14.3,49.0,50.6,35.1,31.9,0.288,0.222,23.2,29.7,70.3,76.8,4.2,5.1,9.0,10.8,0.207,0.19,19.1,20.6,-4.0,0.937,0.993,15.3,13.0,0.433
Fresno St,70.7,80.7,-10.0,0.951,1.086,45.6,49.5,50.3,51.1,28.2,35.3,21.4,13.6,45.6,56.0,31.3,34.2,0.364,0.235,24.9,32.9,67.1,75.1,5.0,6.9,10.2,9.1,0.145,0.233,20.8,24.6,-2.0,0.945,0.972,15.5,15.3,0.188
Montana St,70.7,70.7,-0.1,1.036,1.037,47.8,49.5,47.7,56.4,34.4,23.5,18.0,20.2,53.8,50.6,34.3,29.8,0.319,0.319,18.3,27.2,72.8,81.7,6.1,4.2,9.0,8.3,0.19,0.172,23.5,24.1,-3.0,0.93,0.974,13.7,13.4,0.438
N Kentucky,70.6,72.2,-1.6,1.018,1.042,47.7,47.7,49.8,47.8,32.8,35.1,17.4,17.1,50.3,50.6,32.7,37.0,0.313,0.293,29.6,30.8,69.2,70.4,5.5,5.4,10.7,9.4,0.198,0.2,22.8,24.5,2.2,0.969,0.937,14.9,17.2,0.484
Murray St,70.6,70.2,0.4,1.03,1.024,48.7,49.2,45.3,55.5,31.5,24.1,23.2,20.4,48.6,52.6,33.6,32.1,0.412,0.355,26.7,24.4,75.6,73.3,5.3,6.3,9.2,8.6,0.167,0.138,25.3,27.1,1.4,0.954,0.934,14.7,15.3,0.469
Southern,70.6,69.5,1.1,0.98,0.965,47.6,45.9,53.0,45.7,26.1,31.3,20.9,23.1,47.4,48.2,31.2,33.8,0.381,0.423,32.2,26.1,73.9,67.8,7.2,8.5,12.7,10.0,0.17,0.192,26.0,25.2,4.5,0.968,0.906,15.7,18.5,0.586
Presbyterian,70.6,72.7,-2.1,1.04,1.072,49.1,51.3,52.9,52.0,29.9,26.9,17.2,21.1,49.7,53.0,36.0,34.4,0.312,0.393,27.6,29.0,71.0,72.4,5.5,5.6,9.2,9.4,0.18,0.175,27.2,23.4,1.0,0.967,0.953,14.1,15.4,0.379
Cincinnati,70.5,65.7,4.8,1.042,0.971,48.5,45.2,55.5,54.7,31.2,29.5,13.3,15.9,52.6,48.0,32.0,33.2,0.234,0.243,31.3,27.2,72.8,68.7,7.7,4.9,10.8,8.7,0.202,0.179,20.5,21.0,4.5,0.995,0.928,13.2,17.2,0.546
Oakland,70.5,72.2,-1.7,1.042,1.067,48.8,48.8,50.2,47.6,31.7,35.9,18.1,16.6,53.2,49.7,30.6,35.9,0.317,0.278,32.6,31.0,69.0,67.4,5.1,5.7,9.6,9.0,0.19,0.235,23.9,25.8,-0.8,0.974,0.985,15.3,13.8,0.455
George Mason,70.5,63.7,6.8,1.035,0.935,49.4,43.0,48.6,42.8,28.8,37.3,22.7,19.9,51.0,44.7,35.4,30.5,0.425,0.316,29.5,27.7,72.3,70.5,5.9,6.3,10.9,10.7,0.185,0.169,24.5,27.9,-1.5,0.93,0.952,17.2,16.4,0.765
F Dickinson,70.5,74.4,-3.9,0.988,1.042,46.0,49.3,48.0,55.3,33.1,26.1,19.0,18.6,49.7,53.3,32.2,30.3,0.321,0.304,23.8,29.9,70.1,76.2,4.5,5.5,9.5,9.5,0.185,0.191,22.8,22.9,-1.2,0.942,0.958,15.0,15.2,0.333
NC Greensboro,70.4,67.3,3.1,1.055,1.008,48.1,47.0,44.9,46.1,37.3,33.4,17.8,20.5,48.0,48.7,36.2,31.0,0.298,0.34,28.1,26.6,73.4,71.9,4.9,4.2,8.6,8.5,0.174,0.159,24.5,23.8,1.0,0.983,0.968,13.1,14.1,0.586
Texas So,70.4,72.4,-2.0,0.956,0.984,44.8,46.2,51.3,45.6,30.7,33.7,18.0,20.7,46.2,46.5,33.1,32.6,0.289,0.362,28.9,32.5,67.5,71.1,5.9,6.2,11.4,10.7,0.178,0.186,23.4,20.6,-1.7,0.94,0.963,17.0,16.4,0.414
Boston College,70.4,75.8,-5.4,1.001,1.078,47.4,51.1,52.9,50.5,28.3,29.1,18.8,20.4,47.5,51.3,34.5,35.2,0.315,0.371,26.7,28.1,71.9,73.3,6.7,5.4,7.4,9.2,0.163,0.182,26.2,23.8,-1.4,0.954,0.973,15.0,13.5,0.387
Rice,70.4,70.3,0.0,1.028,1.028,49.2,48.8,46.1,49.5,30.5,29.3,23.3,21.1,47.8,47.5,33.2,32.1,0.433,0.359,31.6,26.4,73.6,68.4,5.4,6.1,6.9,10.3,0.174,0.169,26.1,29.3,-0.8,0.979,0.991,15.0,12.0,0.419
Monmouth,70.3,75.4,-5.0,1.009,1.081,47.6,50.5,47.5,47.0,30.1,32.3,22.4,20.6,44.2,50.7,35.2,33.8,0.367,0.361,27.9,33.3,66.7,72.1,7.6,6.3,8.5,8.9,0.169,0.205,25.7,24.6,-1.7,0.97,0.995,14.0,14.0,0.394
Loyola Mymt,70.3,72.1,-1.7,1.008,1.033,46.7,48.3,49.7,52.2,33.0,29.4,17.2,18.4,50.6,49.0,33.1,31.8,0.29,0.289,22.0,28.4,71.6,78.0,6.6,4.0,8.0,7.7,0.184,0.189,23.7,22.4,-2.1,0.952,0.981,13.6,13.6,0.516
Denver,70.3,77.7,-7.4,0.993,1.098,46.6,52.8,51.4,48.1,29.7,26.8,18.9,25.1,50.5,56.2,33.3,34.1,0.316,0.498,23.2,27.4,72.6,76.8,4.8,4.9,9.1,9.2,0.154,0.175,31.7,24.4,-1.3,0.919,0.937,16.4,15.5,0.276
Buffalo,70.3,81.6,-11.2,0.954,1.106,44.5,51.8,47.8,52.9,33.3,29.9,19.0,17.2,51.3,53.4,30.5,37.2,0.327,0.312,22.9,29.5,70.5,77.1,5.7,5.8,8.6,11.2,0.176,0.213,23.3,22.8,-4.3,0.913,0.971,17.3,14.1,0.241
UT Martin,70.2,73.2,-3.0,0.999,1.042,46.2,47.5,42.9,41.9,37.0,39.5,20.0,18.6,48.5,52.0,31.1,35.0,0.344,0.339,32.5,29.1,70.9,67.5,4.3,7.6,11.2,11.4,0.173,0.203,24.2,23.2,1.3,0.968,0.95,16.4,16.3,0.367
Wake Forest,70.2,68.0,2.2,1.008,0.977,48.4,44.7,54.4,44.0,23.9,35.6,21.7,20.4,52.9,48.2,28.5,30.7,0.361,0.315,24.8,28.3,71.7,75.2,6.9,4.8,10.3,9.0,0.162,0.19,23.6,25.9,0.6,0.946,0.938,14.7,17.0,0.656
Prairie View,70.2,82.2,-12.0,0.964,1.129,46.2,54.4,53.9,55.0,26.6,24.9,19.5,20.1,48.6,57.6,31.5,35.7,0.338,0.405,21.8,38.0,62.0,78.2,5.6,6.3,11.0,8.6,0.164,0.211,25.8,24.7,-1.3,0.937,0.954,14.9,17.0,0.129
Charlotte,70.2,75.0,-4.8,1.03,1.101,48.8,52.9,45.5,55.2,29.5,25.8,24.9,19.0,49.6,56.4,31.0,33.3,0.427,0.37,22.7,27.7,72.3,77.3,4.0,6.4,7.5,8.1,0.175,0.184,25.4,27.8,-1.1,0.956,0.972,13.4,12.8,0.313
San Diego,70.2,80.2,-10.0,0.954,1.089,45.0,51.4,52.0,44.9,27.9,31.2,20.0,23.9,46.3,51.6,29.7,38.5,0.305,0.461,27.3,29.6,70.4,72.7,6.2,6.1,10.0,9.5,0.154,0.205,28.8,23.8,0.6,0.95,0.942,15.9,16.1,0.156
San Jose St,70.2,73.7,-3.5,1.012,1.063,46.6,50.3,46.3,56.5,34.7,27.5,19.0,15.9,48.6,54.2,35.3,31.9,0.318,0.284,24.1,30.1,69.9,75.9,4.8,5.5,8.7,9.1,0.177,0.208,23.2,22.4,-2.3,0.94,0.973,15.2,14.3,0.394
Charleston So,70.1,78.8,-8.7,0.976,1.096,46.9,53.1,46.5,60.3,30.5,21.8,23.0,17.9,50.7,55.4,30.7,32.4,0.439,0.333,28.4,25.4,74.6,71.6,4.3,6.3,6.4,10.6,0.155,0.171,24.7,26.9,-3.4,0.931,0.978,17.2,11.8,0.267
Austin Peay,70.1,75.8,-5.7,1.008,1.091,46.5,51.2,47.7,49.9,34.8,30.5,17.5,19.7,47.1,52.0,34.0,37.9,0.289,0.36,23.2,28.6,71.4,76.8,4.8,8.0,9.5,8.2,0.177,0.196,25.8,21.2,0.7,0.968,0.958,12.9,14.6,0.387
Tulsa,70.1,74.2,-4.0,0.996,1.053,46.8,50.3,48.7,53.7,32.4,27.1,18.8,19.2,51.5,50.0,31.2,32.7,0.342,0.336,24.9,28.0,72.0,75.1,4.5,6.5,8.5,10.2,0.19,0.176,22.8,23.5,-2.8,0.951,0.991,14.7,12.4,0.355
Northeastern,70.1,69.7,0.4,1.014,1.008,47.8,47.5,55.1,52.8,29.0,29.9,15.9,17.4,51.3,49.2,33.7,34.9,0.28,0.303,28.8,28.2,71.8,71.2,8.2,6.6,10.9,10.2,0.188,0.175,23.3,22.0,-0.2,0.946,0.948,16.0,15.7,0.531
Navy,70.1,71.2,-1.1,1.024,1.041,48.1,48.4,48.8,48.1,30.7,33.4,20.5,18.5,46.8,52.6,33.3,34.9,0.338,0.338,29.6,25.1,74.9,70.4,4.7,5.8,9.4,8.3,0.187,0.184,24.1,26.3,3.3,0.985,0.937,13.8,15.7,0.424
Southern Miss,69.9,76.5,-6.6,0.948,1.037,45.3,49.1,52.7,50.3,27.7,29.8,19.6,19.9,49.8,51.2,29.8,32.5,0.338,0.354,24.9,28.6,71.4,75.1,6.9,5.9,9.1,11.4,0.192,0.188,23.2,22.2,-3.8,0.918,0.97,17.3,14.0,0.29
Colorado,69.9,71.5,-1.6,0.993,1.015,47.0,47.6,50.7,47.8,28.0,32.3,21.3,19.8,51.9,48.5,32.2,34.1,0.363,0.348,26.7,25.4,74.6,73.3,6.8,6.3,10.0,12.1,0.201,0.179,23.8,26.2,-3.6,0.906,0.957,18.5,14.3,0.412
Green Bay,69.9,80.6,-10.7,0.99,1.141,45.4,53.3,42.9,48.9,34.9,32.9,22.2,18.2,52.2,54.4,32.9,37.0,0.37,0.354,16.3,30.2,69.8,83.7,3.3,7.2,7.0,9.5,0.196,0.221,25.9,24.4,-6.9,0.893,0.991,16.5,12.6,0.129
Stetson,69.9,81.9,-12.0,0.981,1.15,46.0,52.5,50.1,48.5,30.3,35.1,19.6,16.5,50.2,52.6,33.6,35.9,0.331,0.277,21.7,31.8,68.2,78.3,4.5,5.2,7.0,11.1,0.157,0.229,20.8,24.3,-7.7,0.912,1.02,16.7,11.1,0.2
C Connecticut,69.8,63.1,6.7,1.032,0.932,48.4,42.5,56.6,52.4,27.8,35.7,15.6,11.9,53.7,49.0,32.9,30.6,0.259,0.189,24.8,23.5,76.5,75.2,7.0,3.9,11.0,9.3,0.196,0.187,16.7,19.8,0.0,0.937,0.938,15.2,15.9,0.767
San Diego St,69.8,65.2,4.6,1.016,0.949,47.8,43.9,50.7,40.3,31.7,37.3,17.5,22.3,51.5,45.1,32.6,31.2,0.323,0.374,26.8,28.4,71.6,73.2,9.8,5.2,11.0,8.7,0.185,0.156,27.0,26.0,0.8,0.956,0.944,14.6,16.7,0.667
South Carolina,69.8,71.4,-1.7,1.011,1.035,48.4,48.8,47.2,53.6,28.8,29.0,24.0,17.4,49.8,51.1,31.6,34.8,0.433,0.304,27.7,25.2,74.8,72.3,5.1,8.5,8.2,11.4,0.183,0.188,23.3,27.3,-1.4,0.939,0.959,16.0,13.7,0.375
Cleveland St,69.8,67.6,2.2,1.021,0.989,48.6,46.5,55.1,46.4,26.4,32.7,18.5,21.0,49.6,49.8,32.5,34.5,0.31,0.381,32.9,31.0,69.0,67.1,8.4,6.7,11.8,9.9,0.194,0.19,26.3,23.7,3.6,0.966,0.914,15.6,19.1,0.6
AR-Pine Bluff,69.8,85.7,-15.9,0.942,1.157,45.1,54.0,54.5,45.8,29.4,34.2,16.2,20.0,52.6,58.5,31.0,35.7,0.328,0.405,24.1,33.9,66.1,75.9,3.5,5.7,9.4,12.5,0.182,0.236,25.8,22.1,-5.4,0.907,0.981,18.1,14.4,0.138
Iona,69.7,70.5,-0.8,0.98,0.991,46.3,46.0,54.3,46.1,29.0,33.6,16.7,20.4,47.5,53.9,31.8,32.6,0.279,0.356,37.4,28.3,71.7,62.6,5.2,7.1,13.5,10.0,0.204,0.206,25.7,21.8,5.5,0.971,0.894,17.3,19.9,0.5
NC State,69.6,70.4,-0.8,1.033,1.045,48.8,49.4,51.4,54.1,29.1,26.5,19.5,19.4,48.3,50.8,32.2,34.3,0.323,0.322,27.7,30.3,69.7,72.3,6.8,5.3,9.6,7.6,0.189,0.181,24.7,23.6,3.1,0.996,0.949,12.4,16.1,0.387
SIU Edward,69.6,68.3,1.3,1.0,0.981,47.3,46.0,50.9,47.9,30.4,32.5,18.7,19.7,47.9,46.3,33.1,33.1,0.331,0.331,28.4,26.8,73.2,71.6,7.2,5.3,8.9,9.7,0.184,0.165,24.1,24.1,0.5,0.968,0.96,14.7,14.7,0.613
S Indiana,69.6,75.1,-5.5,0.986,1.063,46.3,50.2,51.0,49.7,29.9,31.4,19.1,18.9,45.4,50.0,35.2,36.7,0.307,0.356,25.0,30.4,69.6,75.0,4.5,5.5,9.3,10.8,0.152,0.174,25.3,23.3,-2.3,0.947,0.979,15.1,14.3,0.286
Drexel,69.6,67.6,2.0,1.042,1.013,48.2,47.8,53.9,54.0,32.2,29.1,13.9,16.9,51.9,48.1,35.0,31.6,0.242,0.282,32.0,27.9,72.1,68.0,7.7,5.1,7.3,10.5,0.19,0.181,22.2,21.3,-2.4,0.959,0.996,15.9,12.4,0.531
E Washington,69.6,76.3,-6.7,1.004,1.101,47.0,51.8,52.0,48.1,28.9,30.8,19.1,21.1,52.5,53.8,32.3,36.9,0.311,0.397,24.7,31.4,68.6,75.3,5.4,4.9,10.7,11.4,0.188,0.205,27.2,24.2,-1.4,0.922,0.942,16.6,16.5,0.267
Hampton,69.6,70.8,-1.2,1.025,1.043,48.1,50.1,50.9,50.2,30.6,26.8,18.4,22.9,46.9,53.3,32.4,34.2,0.303,0.436,32.3,26.5,73.5,67.7,5.5,5.4,10.3,8.3,0.154,0.189,27.7,23.4,5.2,1.003,0.926,13.4,16.6,0.467
Penn,69.6,77.4,-7.8,0.997,1.109,45.8,50.4,46.6,49.1,36.4,35.0,16.9,15.8,49.9,50.8,32.6,37.5,0.289,0.258,23.4,27.9,72.1,76.6,2.8,5.4,7.0,8.4,0.197,0.216,21.9,21.6,-3.3,0.947,0.995,14.4,11.6,0.296
Incarnate Word,69.6,70.6,-1.0,1.04,1.055,48.4,50.4,52.4,54.3,32.1,26.5,15.5,19.2,49.7,50.8,35.8,36.4,0.275,0.347,32.1,29.4,70.6,67.9,6.6,6.0,9.5,10.1,0.177,0.181,24.6,22.4,1.0,0.971,0.956,15.2,15.1,0.448
Towson,69.4,67.7,1.7,1.045,1.02,48.8,47.6,50.9,50.3,32.3,32.1,16.8,17.6,46.7,50.7,33.4,34.1,0.284,0.307,34.2,25.9,74.1,65.8,5.9,5.1,9.3,8.1,0.157,0.169,24.3,22.4,5.7,1.031,0.945,12.1,15.2,0.656
Mt St Mary's,69.3,70.7,-1.4,0.991,1.012,45.7,46.0,47.7,46.4,34.3,37.1,18.0,16.5,50.3,49.4,34.5,31.8,0.305,0.26,28.1,26.5,73.5,71.9,4.3,5.7,8.4,12.3,0.211,0.189,22.3,22.9,-4.7,0.911,0.978,18.7,13.5,0.629
Hawai'i,69.3,71.9,-2.6,1.008,1.045,48.1,49.5,50.7,52.3,26.6,27.5,22.7,20.2,53.1,48.0,31.0,35.0,0.399,0.337,28.5,23.5,76.5,71.5,4.0,4.9,5.1,11.1,0.17,0.153,26.3,28.4,-4.4,0.915,0.979,18.1,11.6,0.448
Alabama A&M,69.3,79.9,-10.6,0.923,1.065,43.8,50.6,44.7,45.7,33.1,31.1,22.2,23.2,44.3,51.8,30.8,39.0,0.386,0.467,31.8,32.6,67.4,68.2,6.7,5.1,10.7,12.1,0.164,0.204,28.4,25.1,0.9,0.938,0.925,18.6,18.1,0.241
UNLV,69.2,68.1,1.1,1.027,1.01,48.9,46.9,51.9,47.1,27.6,34.2,20.5,18.8,49.6,50.5,33.3,31.9,0.358,0.32,25.6,27.6,72.4,74.4,6.5,5.7,9.7,8.3,0.179,0.216,23.6,26.5,0.3,0.962,0.957,14.1,15.4,0.546
Virginia Tech,69.2,73.2,-4.0,1.01,1.068,46.7,49.7,48.2,50.0,34.2,31.3,17.7,18.8,50.3,54.6,35.0,32.6,0.308,0.318,28.4,26.9,73.1,71.6,3.4,5.9,7.9,10.2,0.184,0.208,24.8,21.8,-2.2,0.927,0.959,17.5,14.1,0.406
VMI,69.1,75.5,-6.4,0.991,1.082,45.7,49.5,42.4,46.1,34.7,38.4,22.9,15.5,50.3,56.3,31.0,34.5,0.375,0.305,22.9,30.3,69.7,77.1,4.4,5.5,10.7,10.5,0.158,0.251,23.8,25.5,-2.5,0.929,0.965,15.9,15.1,0.367
Maine,69.0,67.1,1.9,1.013,0.986,47.6,46.2,54.9,53.1,28.5,29.7,16.6,17.2,50.6,50.6,35.7,33.3,0.282,0.291,18.7,30.8,69.2,81.3,6.3,4.9,13.0,8.5,0.207,0.195,22.4,20.8,0.6,0.93,0.921,14.0,18.9,0.563
Campbell,68.9,69.3,-0.4,1.018,1.025,47.0,48.6,48.9,56.1,32.7,27.3,18.5,16.7,51.5,55.8,31.9,31.1,0.297,0.299,22.4,26.5,73.5,77.6,5.4,6.0,9.6,9.4,0.194,0.2,23.7,24.0,1.2,0.947,0.93,14.0,16.6,0.433
Florida A&M,68.8,76.1,-7.3,0.981,1.086,45.3,51.9,42.6,50.1,36.8,28.7,20.6,21.2,50.8,51.5,33.6,34.2,0.367,0.399,25.0,30.6,69.4,75.0,5.3,5.6,7.1,11.1,0.173,0.181,25.9,23.9,-5.7,0.906,0.987,18.1,13.2,0.414
Seattle,68.8,67.6,1.1,0.994,0.978,47.9,46.4,47.9,50.8,27.6,28.7,24.5,20.6,46.3,53.3,31.3,31.9,0.423,0.367,27.6,24.6,75.4,72.4,6.0,7.3,11.6,9.5,0.169,0.192,25.6,27.9,4.7,0.964,0.896,14.7,18.6,0.4
Loyola MD,68.7,72.1,-3.4,1.006,1.056,46.9,49.4,50.8,53.1,32.4,29.4,16.7,17.5,50.7,52.9,32.9,35.1,0.293,0.302,26.9,26.2,73.8,73.1,5.1,4.2,10.1,10.5,0.2,0.199,22.6,23.3,0.1,0.948,0.946,15.4,14.9,0.367
Lehigh,68.7,72.3,-3.6,0.998,1.05,46.7,49.8,49.8,53.0,32.9,27.1,17.3,19.9,49.1,53.0,36.4,31.2,0.315,0.339,18.7,27.2,72.8,81.3,3.6,5.2,8.4,9.0,0.184,0.181,23.7,24.7,-2.3,0.929,0.963,14.1,14.0,0.321
Drake,68.7,59.7,9.0,1.108,0.962,53.1,45.6,50.3,50.8,27.9,28.6,21.9,20.6,54.6,53.8,35.3,31.6,0.432,0.365,35.8,23.2,76.8,64.2,5.2,4.8,14.5,8.5,0.209,0.163,26.2,28.0,5.5,0.964,0.875,16.0,19.9,0.906
Bethune,68.6,72.2,-3.5,0.965,1.014,46.3,47.9,52.8,52.0,26.8,28.6,20.4,19.4,48.4,49.8,31.9,31.3,0.359,0.324,27.1,28.3,71.7,72.9,6.1,6.6,9.4,10.7,0.18,0.192,22.6,24.8,-2.7,0.931,0.968,17.0,14.4,0.515
Binghamton,68.6,73.0,-4.4,0.996,1.059,46.9,49.6,51.0,49.8,30.3,31.3,18.6,18.9,50.6,51.1,35.4,31.8,0.337,0.319,24.0,24.2,75.8,76.0,4.9,7.6,6.3,11.6,0.183,0.174,23.4,23.7,-5.4,0.913,0.992,17.3,11.2,0.414
Holy Cross,68.6,73.7,-5.2,1.014,1.09,45.4,50.7,46.9,54.5,40.1,31.5,13.0,14.0,49.6,54.5,38.6,34.5,0.222,0.254,21.4,25.4,74.6,78.6,4.9,4.5,6.4,9.8,0.18,0.217,20.9,20.6,-4.3,0.919,0.982,16.1,11.9,0.367
C Arkansas,68.5,79.4,-10.9,0.961,1.113,44.0,48.5,45.3,40.8,36.7,46.6,17.9,12.6,50.2,55.4,29.6,38.7,0.288,0.226,25.5,27.0,73.0,74.5,3.9,6.5,10.0,10.9,0.188,0.246,19.5,21.2,-0.8,0.941,0.952,15.8,14.5,0.226
Little Rock,68.5,67.7,0.8,0.977,0.966,46.3,45.1,55.0,42.9,27.8,34.6,17.1,22.5,47.2,46.3,36.6,31.4,0.29,0.379,29.4,32.6,67.4,70.6,9.4,5.1,12.8,12.0,0.189,0.186,24.6,22.7,-0.7,0.933,0.943,17.6,18.2,0.548
St Bonaventure,68.4,65.6,2.8,1.026,0.984,48.6,44.3,54.7,45.7,27.1,39.2,18.2,15.1,51.5,50.8,31.3,32.8,0.306,0.245,25.5,25.6,74.4,74.5,5.8,6.1,11.1,9.3,0.16,0.204,20.2,22.4,2.0,0.962,0.932,13.9,16.6,0.636
